date,home,away,et
2026-06-11,South Korea,Czech Republic,22:00
2026-06-11,Mexico,South Africa,15:00
2026-06-12,Canada,Bosnia and Herzegovina,15:00
2026-06-12,United States,Paraguay,21:00
2026-06-13,Qatar,Switzerland,15:00
2026-06-13,Brazil,Morocco,18:00
2026-06-13,Haiti,Scotland,21:00
2026-06-13,Australia,Turkey,21:00
2026-06-14,Germany,Curaçao,13:00
2026-06-14,Ivory Coast,Ecuador,19:00
2026-06-14,Netherlands,Japan,16:00
2026-06-14,Sweden,Tunisia,22:00
2026-06-15,Belgium,Egypt,15:00
2026-06-15,Iran,New Zealand,21:00
2026-06-15,Spain,Cape Verde,12:00
2026-06-15,Saudi Arabia,Uruguay,18:00
2026-06-16,Argentina,Algeria,21:00
2026-06-16,Austria,Jordan,00:00
2026-06-16,France,Senegal,15:00
2026-06-16,Iraq,Norway,18:00
2026-06-17,Portugal,DR Congo,13:00
2026-06-17,Uzbekistan,Colombia,22:00
2026-06-17,England,Croatia,16:00
2026-06-17,Ghana,Panama,19:00
2026-06-18,Czech Republic,South Africa,12:00
2026-06-18,Mexico,South Korea,21:00
2026-06-18,Switzerland,Bosnia and Herzegovina,15:00
2026-06-18,Canada,Qatar,18:00
2026-06-19,Turkey,Paraguay,00:00
2026-06-19,United States,Australia,15:00
2026-06-19,Scotland,Morocco,18:00
2026-06-19,Brazil,Haiti,20:30
2026-06-20,Germany,Ivory Coast,16:00
2026-06-20,Ecuador,Curaçao,20:00
2026-06-20,Netherlands,Sweden,13:00
2026-06-20,Tunisia,Japan,00:00
2026-06-21,Belgium,Iran,15:00
2026-06-21,New Zealand,Egypt,21:00
2026-06-21,Spain,Saudi Arabia,12:00
2026-06-21,Uruguay,Cape Verde,18:00
2026-06-22,Jordan,Algeria,23:00
2026-06-22,Argentina,Austria,13:00
2026-06-22,Norway,Senegal,20:00
2026-06-22,France,Iraq,17:00
2026-06-23,Portugal,Uzbekistan,13:00
2026-06-23,Colombia,DR Congo,22:00
2026-06-23,England,Ghana,16:00
2026-06-23,Panama,Croatia,19:00
2026-06-24,Scotland,Brazil,18:00
2026-06-24,Mexico,Czech Republic,21:00
2026-06-24,South Africa,South Korea,21:00
2026-06-24,Canada,Switzerland,15:00
2026-06-24,Bosnia and Herzegovina,Qatar,15:00
2026-06-24,Morocco,Haiti,18:00
2026-06-25,Tunisia,Netherlands,19:00
2026-06-25,Japan,Sweden,19:00
2026-06-25,Ecuador,Germany,16:00
2026-06-25,United States,Turkey,22:00
2026-06-25,Paraguay,Australia,22:00
2026-06-25,Curaçao,Ivory Coast,16:00
2026-06-26,Uruguay,Spain,20:00
2026-06-26,Cape Verde,Saudi Arabia,20:00
2026-06-26,Norway,France,15:00
2026-06-26,Egypt,Iran,23:00
2026-06-26,New Zealand,Belgium,23:00
2026-06-26,Senegal,Iraq,15:00
2026-06-27,DR Congo,Uzbekistan,19:30
2026-06-27,Colombia,Portugal,19:30
2026-06-27,Panama,England,17:00
2026-06-27,Algeria,Austria,22:00
2026-06-27,Jordan,Argentina,22:00
2026-06-27,Croatia,Ghana,17:00
